Timestamp,Source,Speed_Arduino_Original,Speed_Arduino_Calibrated,Speed_Arduino_Filtered,Speed_ANT,Steering,Cadence,Power,ElapsedTime,DistanceTraveled,HeartRate,Grade,Calibration_Coefficient
1728398224.466518,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.4861245,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.5062354,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.526126,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.5466418,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.5661368,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.5861714,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.6073022,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.6261616,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.6472974,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.6664457,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.687153,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.7061732,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.7271667,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.74621,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.7666464,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.7862904,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.8063989,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.8261576,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.8471313,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.8661509,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.8871052,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.906955,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.9271584,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.9466758,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.9666622,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398224.9866693,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398225.0061705,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
1728398225.0272012,Arduino,0.0,0.0,0.0,,-23.0,,,,,,5,1.0
